BUSINESSOPERATOR;DetailURL;StreetNumber;Street;TOTALOUTSTANDING;TotalUnits;Geom;Geo Local Area;geo_point_2d
Heritage House Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=455&street=ABBOTT%20STREET;455;ABBOTT STREET;4;109;"{""coordinates"": [-123.10777511, 49.28139465], ""type"": ""Point""}";Downtown;49.28139465, -123.10777511
Provincial Rental Housing Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=525&street=ABBOTT%20STREET;525;ABBOTT STREET;1;108;"{""coordinates"": [-123.1081018, 49.28083259], ""type"": ""Point""}";Downtown;49.28083259, -123.1081018
0707892 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=320&street=ABBOTT%20STREET;320;ABBOTT STREET;1;60;"{""coordinates"": [-123.10664756, 49.28261413], ""type"": ""Point""}";Downtown;49.28261413, -123.10664756
Central City Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=404&street=ABBOTT%20STREET;404;ABBOTT STREET;4;71;"{""coordinates"": [-123.10713559, 49.2816849], ""type"": ""Point""}";Downtown;49.2816849, -123.10713559
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=ABBOTT%20STREET;351;ABBOTT STREET;2;125;"{""coordinates"": [-123.10807734, 49.28271565], ""type"": ""Point""}";Downtown;49.28271565, -123.10807734
0730235 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1683&street=ADANAC%20STREET;1683;ADANAC STREET;7;21;"{""coordinates"": [-123.07088549, 49.27782724], ""type"": ""Point""}";Grandview-Woodland;49.27782724, -123.07088549
Lily Jang;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1785&street=ADANAC%20STREET;1785;ADANAC STREET;1;5;"{""coordinates"": [-123.06878722, 49.27780288], ""type"": ""Point""}";Grandview-Woodland;49.27780288, -123.06878722
Chew Leong Chow & Lai Kwan Chow;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1765&street=ADANAC%20STREET;1765;ADANAC STREET;1;6;"{""coordinates"": [-123.06915433, 49.27780715], ""type"": ""Point""}";Grandview-Woodland;49.27780715, -123.06915433
Entre Nous Femmes Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1656&street=ADANAC%20STREET;1656;ADANAC STREET;4;46;"{""coordinates"": [-123.07200187, 49.27733406], ""type"": ""Point""}";Grandview-Woodland;49.27733406, -123.07200187
0763658 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1050&street=ALBERNI%20STREET;1050;ALBERNI STREET;1;17;"{""coordinates"": [-123.12330459, 49.28465803], ""type"": ""Point""}";West End;49.28465803, -123.12330459
City of Vancouver;http://app.vancouver.ca/RPS_Net/Default.aspx?num=58&street=ALEXANDER%20STREET;58;ALEXANDER STREET;3;30;"{""coordinates"": [-123.1027163, 49.28344261], ""type"": ""Point""}";Downtown;49.28344261, -123.1027163
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=334&street=ALEXANDER%20STREET;334;ALEXANDER STREET;2;21;"{""coordinates"": [-123.09673373, 49.28377753], ""type"": ""Point""}";Strathcona;49.28377753, -123.09673373
1078022 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=610&street=ALEXANDER%20STREET;610;ALEXANDER STREET;6;46;"{""coordinates"": [-123.0910891, 49.28367106], ""type"": ""Point""}";Strathcona;49.28367106, -123.0910891
THE VETERANS MEMORIAL HOUSING SOCIETY;http://app.vancouver.ca/RPS_Net/Default.aspx?num=310&street=ALEXANDER%20STREET;310;ALEXANDER STREET;7;133;"{""coordinates"": [-123.0973628, 49.28378914], ""type"": ""Point""}";Strathcona;49.28378914, -123.0973628
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=362&street=ALEXANDER%20STREET;362;ALEXANDER STREET;2;37;"{""coordinates"": [-123.09569679, 49.28375815], ""type"": ""Point""}";Strathcona;49.28375815, -123.09569679
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=510&street=ALEXANDER%20STREET;510;ALEXANDER STREET;4;37;"{""coordinates"": [-123.09262135, 49.2837058], ""type"": ""Point""}";Strathcona;49.2837058, -123.09262135
Siddoo Kashmir Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1725&street=ARBUTUS%20STREET;1725;ARBUTUS STREET;1;11;"{""coordinates"": [-123.15305216, 49.27041955], ""type"": ""Point""}";Kitsilano;49.27041955, -123.15305216
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2132&street=ASH%20STREET;2132;ASH STREET;1;52;;;
Catalyst Community Developments Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5688&street=ASH%20STREET;5688;ASH STREET;1;24;"{""coordinates"": [-123.11745393, 49.23387959], ""type"": ""Point""}";South Cambie;49.23387959, -123.11745393
Dorset Place Apartment Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5614&street=BALSAM%20STREET;5614;BALSAM STREET;2;40;"{""coordinates"": [-123.16091718, 49.23570078], ""type"": ""Point""}";Arbutus Ridge;49.23570078, -123.16091718
Balsam Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5455&street=BALSAM%20STREET;5455;BALSAM STREET;1;87;"{""coordinates"": [-123.16164309, 49.23776103], ""type"": ""Point""}";Arbutus Ridge;49.23776103, -123.16164309
Rosellen Suites Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2030&street=BARCLAY%20STREET;2030;BARCLAY STREET;6;32;"{""coordinates"": [-123.14145298, 49.29212794], ""type"": ""Point""}";West End;49.29212794, -123.14145298
1081976 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1531&street=BARCLAY%20STREET;1531;BARCLAY STREET;1;21;"{""coordinates"": [-123.1335502, 49.28782857], ""type"": ""Point""}";West End;49.28782857, -123.1335502
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1601&street=BARCLAY%20STREET;1601;BARCLAY STREET;2;47;"{""coordinates"": [-123.13434726, 49.28834171], ""type"": ""Point""}";West End;49.28834171, -123.13434726
More Than A Roof Mennonite Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1655&street=BARCLAY%20STREET;1655;BARCLAY STREET;3;475;"{""coordinates"": [-123.13484649, 49.28866855], ""type"": ""Point""}";West End;49.28866855, -123.13484649
1770 Barclay Street Holding Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1770&street=BARCLAY%20STREET;1770;BARCLAY STREET;3;84;"{""coordinates"": [-123.13747968, 49.28961087], ""type"": ""Point""}";West End;49.28961087, -123.13747968
Tang Realty Development Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1865&street=BARCLAY%20STREET;1865;BARCLAY STREET;1;40;"{""coordinates"": [-123.13827675, 49.29088725], ""type"": ""Point""}";West End;49.29088725, -123.13827675
1368874 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1901&street=BARCLAY%20STREET;1901;BARCLAY STREET;3;30;"{""coordinates"": [-123.1390663, 49.29139589], ""type"": ""Point""}";West End;49.29139589, -123.1390663
Razgul Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2010&street=BARCLAY%20STREET;2010;BARCLAY STREET;3;39;"{""coordinates"": [-123.14105362, 49.29193546], ""type"": ""Point""}";West End;49.29193546, -123.14105362
Darfo Investments Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1231&street=BARCLAY%20STREET;1231;BARCLAY STREET;1;21;"{""coordinates"": [-123.129431, 49.28515228], ""type"": ""Point""}";West End;49.28515228, -123.129431
Hampton Royale Apts Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=BARCLAY%20STREET;1650;BARCLAY STREET;3;29;"{""coordinates"": [-123.13550095, 49.28833902], ""type"": ""Point""}";West End;49.28833902, -123.13550095
Bonniehon Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1395&street=BEACH%20AVENUE;1395;BEACH AVENUE;2;91;"{""coordinates"": [-123.13902871, 49.28163305], ""type"": ""Point""}";West End;49.28163305, -123.13902871
Feliz Enterprises Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1255&street=BIDWELL%20STREET;1255;BIDWELL STREET;5;266;"{""coordinates"": [-123.14162228, 49.28609826], ""type"": ""Point""}";West End;49.28609826, -123.14162228
Reliance Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=BIDWELL%20STREET;1188;BIDWELL STREET;2;108;"{""coordinates"": [-123.13971039, 49.28628006], ""type"": ""Point""}";West End;49.28628006, -123.13971039
TKT Holdings (Canada) Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2148&street=BLENHEIM%20STREET;2148;BLENHEIM STREET;1;5;"{""coordinates"": [-123.17741425, 49.2669157], ""type"": ""Point""}";Kitsilano;49.2669157, -123.17741425
Norman Estates Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2210&street=BLENHEIM%20STREET;2210;BLENHEIM STREET;5;8;"{""coordinates"": [-123.17749312, 49.26651978], ""type"": ""Point""}";Kitsilano;49.26651978, -123.17749312
GMH 1203 Broughton Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1203&street=BROUGHTON%20STREET;1203;BROUGHTON STREET;2;40;"{""coordinates"": [-123.13679531, 49.28361279], ""type"": ""Point""}";West End;49.28361279, -123.13679531
S A H Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1091&street=BROUGHTON%20STREET;1091;BROUGHTON STREET;1;40;"{""coordinates"": [-123.13466392, 49.28501806], ""type"": ""Point""}";West End;49.28501806, -123.13466392
1112 Broughton Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1112&street=BROUGHTON%20STREET;1112;BROUGHTON STREET;3;22;"{""coordinates"": [-123.1347758, 49.28444854], ""type"": ""Point""}";West End;49.28444854, -123.1347758
The Vancouver Broadway Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=650&street=BUCKETWHEEL;650;BUCKETWHEEL;1;45;"{""coordinates"": [-123.11818965, 49.26769092], ""type"": ""Point""}";Fairview;49.26769092, -123.11818965
Paul Y Mansion (Paul Mansion);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1150&street=BURNABY%20STREET;1150;BURNABY STREET;8;176;"{""coordinates"": [-123.13413389, 49.28049467], ""type"": ""Point""}";West End;49.28049467, -123.13413389
Arthur M Hayes (Arthur Hayes);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1176&street=BURNABY%20STREET;1176;BURNABY STREET;3;41;"{""coordinates"": [-123.13433156, 49.28062353], ""type"": ""Point""}";West End;49.28062353, -123.13433156
John Rusko & Regina Rusko & Robert Rusko;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1141&street=BURNABY%20STREET;1141;BURNABY STREET;4;40;"{""coordinates"": [-123.13297953, 49.28049511], ""type"": ""Point""}";West End;49.28049511, -123.13297953
Forth Gen Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1650&street=BURNABY%20STREET;1650;BURNABY STREET;1;95;"{""coordinates"": [-123.14081021, 49.28481878], ""type"": ""Point""}";West End;49.28481878, -123.14081021
Concord International Lands Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1065&street=BURNABY%20STREET;1065;BURNABY STREET;1;15;"{""coordinates"": [-123.13159282, 49.27960459], ""type"": ""Point""}";West End;49.27960459, -123.13159282
Canadian Hostelling Association BC Region;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1114&street=BURNABY%20STREET;1114;BURNABY STREET;5;225;"{""coordinates"": [-123.13286314, 49.27966636], ""type"": ""Point""}";West End;49.27966636, -123.13286314
Vanca Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1365&street=BURNABY%20STREET;1365;BURNABY STREET;3;8;"{""coordinates"": [-123.13667519, 49.28289917], ""type"": ""Point""}";West End;49.28289917, -123.13667519
IMH 1433 Burnaby Apartments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1433&street=BURNABY%20STREET;1433;BURNABY STREET;2;30;"{""coordinates"": [-123.13768742, 49.28354384], ""type"": ""Point""}";West End;49.28354384, -123.13768742
Belmont Bute 990 Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=990&street=BUTE%20STREET;990;BUTE STREET;1;36;"{""coordinates"": [-123.12970105, 49.28394886], ""type"": ""Point""}";West End;49.28394886, -123.12970105
Huntly Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=601&street=BUTE%20STREET;601;BUTE STREET;4;23;"{""coordinates"": [-123.12466408, 49.28778196], ""type"": ""Point""}";Downtown;49.28778196, -123.12466408
1446343 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=925&street=BUTE%20STREET;925;BUTE STREET;5;23;"{""coordinates"": [-123.12959281, 49.28451524], ""type"": ""Point""}";West End;49.28451524, -123.12959281
Daysgoneby.org Land Stewards Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1310&street=BUTE%20STREET;1310;BUTE STREET;1;20;"{""coordinates"": [-123.13453924, 49.28074876], ""type"": ""Point""}";West End;49.28074876, -123.13453924
1299362 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8427&street=CAMBIE%20STREET;8427;CAMBIE STREET;1;15;"{""coordinates"": [-123.11780355, 49.20907327], ""type"": ""Point""}";Marpole;49.20907327, -123.11780355
Danny's Inn Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=317&street=CAMBIE%20STREET;317;CAMBIE STREET;2;18;"{""coordinates"": [-123.109504, 49.28323298], ""type"": ""Point""}";Downtown;49.28323298, -123.109504
Intercity Developments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5550&street=CAMBIE%20STREET;5550;CAMBIE STREET;1;60;"{""coordinates"": [-123.11557327, 49.23499935], ""type"": ""Point""}";Riley Park;49.23499935, -123.11557327
ELMO SOUP HOLDINGS LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=CAMPBELL%20AVENUE;425;CAMPBELL AVENUE;1;20;"{""coordinates"": [-123.08507538, 49.2804689], ""type"": ""Point""}";Strathcona;49.2804689, -123.08507538
Guerino Rasman & Julianna Rasman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=974&street=CARDERO%20STREET;974;CARDERO STREET;3;6;"{""coordinates"": [-123.13509577, 49.28725467], ""type"": ""Point""}";West End;49.28725467, -123.13509577
1600 Davie Residential Holdings Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1181&street=CARDERO%20STREET;1181;CARDERO STREET;3;197;;;
Derik Ventures Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=843&street=CARDERO%20STREET;843;CARDERO STREET;3;39;"{""coordinates"": [-123.13328409, 49.28904188], ""type"": ""Point""}";West End;49.28904188, -123.13328409
Allan Wong & Mui Chai Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=925&street=CARDERO%20STREET;925;CARDERO STREET;3;26;"{""coordinates"": [-123.13490093, 49.28795517], ""type"": ""Point""}";West End;49.28795517, -123.13490093
Guerino Rasman & Julianna Rasman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=962&street=CARDERO%20STREET;962;CARDERO STREET;1;7;"{""coordinates"": [-123.13490361, 49.28738307], ""type"": ""Point""}";West End;49.28738307, -123.13490361
Balay Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=777&street=CARDERO%20STREET;777;CARDERO STREET;1;190;"{""coordinates"": [-123.13241844, 49.28987585], ""type"": ""Point""}";West End;49.28987585, -123.13241844
Guerino Rasman & Julianna Rasman;http://app.vancouver.ca/RPS_Net/Default.aspx?num=968&street=CARDERO%20STREET;968;CARDERO STREET;3;7;"{""coordinates"": [-123.13500038, 49.28731865], ""type"": ""Point""}";West End;49.28731865, -123.13500038
331750 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1225&street=CARDERO%20STREET;1225;CARDERO STREET;3;169;"{""coordinates"": [-123.13957785, 49.2854097], ""type"": ""Point""}";West End;49.2854097, -123.13957785
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=309&street=CARRALL%20STREET;309;CARRALL STREET;2;41;"{""coordinates"": [-123.10460555, 49.28223732], ""type"": ""Point""}";Downtown;49.28223732, -123.10460555
1001438 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=204&street=CARRALL%20STREET;204;CARRALL STREET;1;41;"{""coordinates"": [-123.10393424, 49.28298921], ""type"": ""Point""}";Downtown;49.28298921, -123.10393424
Millenium Carrall Properties Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=333&street=CARRALL%20STREET;333;CARRALL STREET;1;37;"{""coordinates"": [-123.1046469, 49.28190311], ""type"": ""Point""}";Downtown;49.28190311, -123.1046469
PHS Community Services Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=412&street=CARRALL%20STREET;412;CARRALL STREET;2;44;"{""coordinates"": [-123.10415426, 49.28111243], ""type"": ""Point""}";Downtown;49.28111243, -123.10415426
Jordan Development Corporation Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8655&street=CARTIER%20STREET;8655;CARTIER STREET;1;32;"{""coordinates"": [-123.13812072, 49.20814624], ""type"": ""Point""}";Marpole;49.20814624, -123.13812072
Cartier Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8725&street=CARTIER%20STREET;8725;CARTIER STREET;3;7;"{""coordinates"": [-123.13816824, 49.20646], ""type"": ""Point""}";Marpole;49.20646, -123.13816824
Gerda H Fandrich & Helmut E Fandrich;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8632&street=CARTIER%20STREET;8632;CARTIER STREET;4;10;"{""coordinates"": [-123.13726576, 49.20812973], ""type"": ""Point""}";Marpole;49.20812973, -123.13726576
ACJ1016 Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=8680&street=CARTIER%20STREET;8680;CARTIER STREET;3;10;"{""coordinates"": [-123.13727698, 49.20758056], ""type"": ""Point""}";Marpole;49.20758056, -123.13727698
473881 BC LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1472&street=CHARLES%20STREET;1472;CHARLES STREET;3;16;"{""coordinates"": [-123.07428732, 49.27281667], ""type"": ""Point""}";Grandview-Woodland;49.27281667, -123.07428732
Hyung Moon Kim (Hyung Kim);http://app.vancouver.ca/RPS_Net/Default.aspx?num=1708&street=CHARLES%20STREET;1708;CHARLES STREET;3;14;"{""coordinates"": [-123.06917565, 49.27289892], ""type"": ""Point""}";Grandview-Woodland;49.27289892, -123.06917565
EMV Holdings Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=930&street=CHILCO%20STREET;930;CHILCO STREET;1;29;"{""coordinates"": [-123.1400431, 49.29202753], ""type"": ""Point""}";West End;49.29202753, -123.1400431
Armando Ferreira;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2308&street=CLARK%20DRIVE;2308;CLARK DRIVE;3;5;"{""coordinates"": [-123.07708649, 49.26404447], ""type"": ""Point""}";Grandview-Woodland;49.26404447, -123.07708649
Persepolis Investments Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=351&street=COLUMBIA%20STREET;351;COLUMBIA STREET;3;27;"{""coordinates"": [-123.1024617, 49.2816793], ""type"": ""Point""}";Downtown;49.2816793, -123.1024617
Ali's Property Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=412&street=COLUMBIA%20STREET;412;COLUMBIA STREET;1;7;"{""coordinates"": [-123.10209829, 49.28113543], ""type"": ""Point""}";Downtown;49.28113543, -123.10209829
Yin Ping Benevolent Society of Canada;http://app.vancouver.ca/RPS_Net/Default.aspx?num=414&street=COLUMBIA%20STREET;414;COLUMBIA STREET;3;15;"{""coordinates"": [-123.10210977, 49.28103602], ""type"": ""Point""}";Downtown;49.28103602, -123.10210977
673854 BC Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2615&street=COLUMBIA%20STREET;2615;COLUMBIA STREET;2;13;"{""coordinates"": [-123.10984221, 49.26197789], ""type"": ""Point""}";Mount Pleasant;49.26197789, -123.10984221
Kwok Hing Louie & Daisy Louie;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1965&street=COMMERCIAL%20DRIVE;1965;COMMERCIAL DRIVE;1;6;"{""coordinates"": [-123.07003857, 49.26727419], ""type"": ""Point""}";Grandview-Woodland;49.26727419, -123.07003857
631 Commercial Drive Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=633&street=COMMERCIAL%20DRIVE;633;COMMERCIAL DRIVE;1;6;"{""coordinates"": [-123.07074744, 49.2788454], ""type"": ""Point""}";Grandview-Woodland;49.2788454, -123.07074744
FCCZ Investment Ltd.;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1316&street=COMMERCIAL%20DRIVE;1316;COMMERCIAL DRIVE;3;5;"{""coordinates"": [-123.06917948, 49.27269518], ""type"": ""Point""}";Grandview-Woodland;49.27269518, -123.06917948
Hudsonmorris (3427 Commercial) Projects Corp;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3427&street=COMMERCIAL%20STREET;3427;COMMERCIAL STREET;6;8;"{""coordinates"": [-123.06839379, 49.25387472], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25387472, -123.06839379
Dicata (Commercial Street) Limited Partnership;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3607&street=COMMERCIAL%20STREET;3607;COMMERCIAL STREET;5;10;"{""coordinates"": [-123.06846251, 49.25233156], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25233156, -123.06846251
Andrew Priatel & John Priatel;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1075&street=COMOX%20STREET;1075;COMOX STREET;1;87;"{""coordinates"": [-123.12801526, 49.28146361], ""type"": ""Point""}";West End;49.28146361, -123.12801526
Daysgoneby.org Land Stewards Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1717&street=COMOX%20STREET;1717;COMOX STREET;1;23;"{""coordinates"": [-123.13796381, 49.2880357], ""type"": ""Point""}";West End;49.2880357, -123.13796381
Commonwealth Holding Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1772&street=COMOX%20STREET;1772;COMOX STREET;1;61;"{""coordinates"": [-123.1394508, 49.28812928], ""type"": ""Point""}";West End;49.28812928, -123.1394508
Five Mile Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2033&street=COMOX%20STREET;2033;COMOX STREET;1;91;"{""coordinates"": [-123.1427403, 49.29099206], ""type"": ""Point""}";West End;49.29099206, -123.1427403
Wings Housing Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1041&street=COMOX%20STREET;1041;COMOX STREET;2;30;"{""coordinates"": [-123.12781211, 49.28133297], ""type"": ""Point""}";West End;49.28133297, -123.12781211
Cressey Wilkinson Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1715&street=COOK%20STREET;1715;COOK STREET;8;104;"{""coordinates"": [-123.11078149, 49.26948341], ""type"": ""Point""}";Mount Pleasant;49.26948341, -123.11078149
Community Builders Benevolence Group;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3598&street=COPLEY%20STREET;3598;COPLEY STREET;1;58;;;
Creekside Ventures Limited;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1450&street=CREEKSIDE%20DRIVE;1450;CREEKSIDE DRIVE;1;39;"{""coordinates"": [-123.13984642, 49.27145559], ""type"": ""Point""}";Fairview;49.27145559, -123.13984642
Brightside Community Homes Foundation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=238&street=DAVIE%20STREET;238;DAVIE STREET;5;72;"{""coordinates"": [-123.12370772, 49.27375636], ""type"": ""Point""}";Downtown;49.27375636, -123.12370772
Pacific Coast Tobacco Co Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1180&street=DAVIE%20STREET;1180;DAVIE STREET;1;5;"{""coordinates"": [-123.13321628, 49.28129403], ""type"": ""Point""}";West End;49.28129403, -123.13321628
Itziar Management Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=DAVIE%20STREET;1516;DAVIE STREET;3;83;"{""coordinates"": [-123.13817768, 49.28450349], ""type"": ""Point""}";West End;49.28450349, -123.13817768
Yip C Lai & Cheuk Y Lew;http://app.vancouver.ca/RPS_Net/Default.aspx?num=676&street=DAVIE%20STREET;676;DAVIE STREET;1;8;"{""coordinates"": [-123.12605305, 49.27685083], ""type"": ""Point""}";Downtown;49.27685083, -123.12605305
Wing Chan Investments Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1116&street=DAVIE%20STREET;1116;DAVIE STREET;3;6;"{""coordinates"": [-123.13198291, 49.28050749], ""type"": ""Point""}";West End;49.28050749, -123.13198291
Lawrence Wong;http://app.vancouver.ca/RPS_Net/Default.aspx?num=809&street=DENMAN%20STREET;809;DENMAN STREET;1;8;"{""coordinates"": [-123.13589931, 49.29147113], ""type"": ""Point""}";West End;49.29147113, -123.13589931
Concert Real Estate Corporation;http://app.vancouver.ca/RPS_Net/Default.aspx?num=600&street=DRAKE%20STREET;600;DRAKE STREET;1;191;"{""coordinates"": [-123.12750907, 49.27532638], ""type"": ""Point""}";Downtown;49.27532638, -123.12750907
Society For Christian Care of Elderly;http://app.vancouver.ca/RPS_Net/Default.aspx?num=183&street=DRAKE%20STREET;183;DRAKE STREET;3;74;"{""coordinates"": [-123.1227076, 49.27330327], ""type"": ""Point""}";Downtown;49.27330327, -123.1227076
Helping Spirit Lodge Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=3989&street=DUMFRIES%20STREET;3989;DUMFRIES STREET;2;36;"{""coordinates"": [-123.07371806, 49.24966055], ""type"": ""Point""}";Kensington-Cedar Cottage;49.24966055, -123.07371806
J 110 Freecorp Holdings Ltd;http://app.vancouver.ca/RPS_Net/Default.aspx?num=5626&street=DUNBAR%20STREET;5626;DUNBAR STREET;1;8;"{""coordinates"": [-123.18499035, 49.23527137], ""type"": ""Point""}";Dunbar-Southlands;49.23527137, -123.18499035
1313 Ventures Inc;http://app.vancouver.ca/RPS_Net/Default.aspx?num=2121&street=DUNDAS%20STREET;2121;DUNDAS STREET;3;35;"{""coordinates"": [-123.06098535, 49.2850593], ""type"": ""Point""}";Grandview-Woodland;49.2850593, -123.06098535
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=225&street=DUNLEVY%20AVENUE;225;DUNLEVY AVENUE;2;109;"{""coordinates"": [-123.0956261, 49.28285515], ""type"": ""Point""}";Strathcona;49.28285515, -123.0956261
Atira Women's Resource Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=143&street=DUNLEVY%20AVENUE;143;DUNLEVY AVENUE;18;55;"{""coordinates"": [-123.0955126, 49.28336116], ""type"": ""Point""}";Strathcona;49.28336116, -123.0955126
GLR PROPERTIES LTD;http://app.vancouver.ca/RPS_Net/Default.aspx?num=1344&street=E%201ST%20AVENUE;1344;E 1ST AVENUE;2;30;"{""coordinates"": [-123.07661215, 49.26938033], ""type"": ""Point""}";Grandview-Woodland;49.26938033, -123.07661215
Lookout Housing and Health Society;http://app.vancouver.ca/RPS_Net/Default.aspx?num=188&street=E%201ST%20AVENUE;188;E 1ST AVENUE;2;129;"{""coordinates"": [-123.1011091, 49.26985484], ""type"": ""Point""}";Mount Pleasant;49.26985484, -123.1011091
